Date,Time,Score,Difficulty
2021.11.15,13:51:00,5465.00,EASY
2021.11.15,13:54:25,6125.00,HARD
2021.11.15,14:22:43,4575.00,EASY
2021.11.15,14:23:15,40.00,HARD
